Date,StateName,DistrictName,Evapo Level (mm),Evapo Volume (Tmcft),Aggregate Evapo Level (mm),Aggregate Evapo Volume (Tmcft)
31-01-2020,MAHARASHTRA,WASHIM,0.253575871,0.044927388,0.149404925,0.026470867
31-01-2020,MAHARASHTRA,SATARA,0.346933941,0.125255244,0.104229851,0.037630609
31-01-2020,MAHARASHTRA,PUNE,0.382857762,0.20531888,0.143357131,0.076879532
31-01-2020,MAHARASHTRA,PARBHANI,0.184888623,0.040052487,0.078065086,0.016911267
31-01-2020,MAHARASHTRA,JALNA,0.219704895,0.058269342,0.095617656,0.025359371
31-01-2020,MAHARASHTRA,GONDIYA,0.756389552,0.140871141,0.224398602,0.041792337
31-01-2020,MAHARASHTRA,MUMBAI,0.016675651,8.52E-05,0.000296813,1.52E-06
31-01-2020,MAHARASHTRA,NASHIK,0.307439136,0.163085599,0.145475336,0.077169526
31-01-2020,MAHARASHTRA,GARHCHIROLI,0.915815801,0.451686589,0.198494134,0.097898658
31-01-2020,MAHARASHTRA,RATNAGIRI,0.973049466,0.276653934,0.463253018,0.131710437
31-01-2020,MAHARASHTRA,OSMANABAD,0.27654205,0.071752707,0.124297136,0.032250632
31-01-2020,MAHARASHTRA,BID,0.227377897,0.085930486,0.108776643,0.041108788
31-01-2020,MAHARASHTRA,LATUR,0.203512122,0.047094503,0.099781062,0.023090219
31-01-2020,MAHARASHTRA,YAVATMAL,0.486207397,0.224401516,0.211316972,0.097530085
31-01-2020,MAHARASHTRA,BHANDARA,0.622421002,0.081754934,0.250427971,0.032893688
31-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.289581551,0.004482035,0.029393503,0.000454942
31-01-2020,MAHARASHTRA,NANDURBAR,0.356182489,0.071498464,0.140254662,0.028154087
31-01-2020,MAHARASHTRA,NAGPUR,0.71914672,0.242903954,0.251925553,0.085092112
31-01-2020,MAHARASHTRA,CHANDRAPUR,0.815235533,0.314305688,0.320490866,0.123561962
31-01-2020,MAHARASHTRA,JALGAON,0.244053703,0.097819751,0.092669801,0.037143206
31-01-2020,MAHARASHTRA,HINGOLI,0.313111959,0.050151437,0.123445596,0.019772397
31-01-2020,MAHARASHTRA,AKOLA,0.277554112,0.051115579,0.139949424,0.025773698
31-01-2020,MAHARASHTRA,AURANGABAD,0.289023433,0.099743402,0.130019633,0.044870412
31-01-2020,MAHARASHTRA,DHULE,0.305710229,0.074768176,0.108203238,0.026463487
31-01-2020,MAHARASHTRA,KOLHAPUR,0.498047309,0.131918225,0.109347915,0.028963077
31-01-2020,MAHARASHTRA,RAIGARH,0.604847744,0.148295484,0.123781067,0.03034842
31-01-2020,MAHARASHTRA,AMRAVATI,0.327854109,0.136217111,0.147504898,0.061285464
31-01-2020,MAHARASHTRA,NANDED,0.461900791,0.167371814,0.181571282,0.065793165
31-01-2020,MAHARASHTRA,SOLAPUR,0.289883723,0.148396341,0.154272376,0.078974617
31-01-2020,MAHARASHTRA,AHMADNAGAR,0.274016205,0.159767744,0.137477557,0.080157592
31-01-2020,MAHARASHTRA,THANE,0.57270592,0.186235465,0.152129017,0.049470098
31-01-2020,MAHARASHTRA,SANGLI,0.292531155,0.086260766,0.135870799,0.0400652
31-01-2020,MAHARASHTRA,WARDHA,0.625450644,0.134401938,0.250674231,0.053866924
31-01-2020,MAHARASHTRA,BULDANA,0.258441398,0.085879928,0.127404132,0.04233632
31-01-2020,MAHARASHTRA,SINDHUDURG,1.001682458,0.175695365,0.422187526,0.074051802
30-01-2020,MAHARASHTRA,WASHIM,0.248193137,0.0439737,0.14581766,0.025835292
30-01-2020,MAHARASHTRA,SATARA,0.358041434,0.129265436,0.106354252,0.038397592
30-01-2020,MAHARASHTRA,PUNE,0.386827673,0.207447862,0.144066979,0.077260209
30-01-2020,MAHARASHTRA,PARBHANI,0.185057032,0.040088969,0.078095213,0.016917793
30-01-2020,MAHARASHTRA,JALNA,0.209450596,0.055549734,0.091122526,0.024167189
30-01-2020,MAHARASHTRA,GONDIYA,0.93685634,0.174481551,0.282874164,0.052682915
30-01-2020,MAHARASHTRA,MUMBAI,0.01987943,0.000101516,0.000320733,1.64E-06
30-01-2020,MAHARASHTRA,NASHIK,0.300503874,0.159406688,0.140750684,0.074663265
30-01-2020,MAHARASHTRA,GARHCHIROLI,1.010505583,0.498388234,0.219298308,0.108159419
30-01-2020,MAHARASHTRA,RATNAGIRI,1.007168935,0.286354659,0.479125162,0.136223148
30-01-2020,MAHARASHTRA,OSMANABAD,0.257945741,0.066927634,0.116388135,0.030198531
30-01-2020,MAHARASHTRA,BID,0.214874637,0.081205263,0.102929224,0.038898936
30-01-2020,MAHARASHTRA,LATUR,0.200722378,0.046448931,0.098691897,0.022838177
30-01-2020,MAHARASHTRA,YAVATMAL,0.471704346,0.217707857,0.204490048,0.094379224
30-01-2020,MAHARASHTRA,BHANDARA,0.727351439,0.095537536,0.290223249,0.038120794
30-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.32183542,0.004981248,0.032804937,0.000507743
30-01-2020,MAHARASHTRA,NANDURBAR,0.364371017,0.073142193,0.143939802,0.028893826
30-01-2020,MAHARASHTRA,NAGPUR,0.7501483,0.253375262,0.259683082,0.087712348
30-01-2020,MAHARASHTRA,CHANDRAPUR,0.83158918,0.320610669,0.327652135,0.126322916
30-01-2020,MAHARASHTRA,JALGAON,0.236309988,0.094715974,0.089787987,0.035988139
30-01-2020,MAHARASHTRA,HINGOLI,0.309397272,0.049556452,0.122660593,0.019646662
30-01-2020,MAHARASHTRA,AKOLA,0.274733021,0.050596034,0.137659588,0.025351992
30-01-2020,MAHARASHTRA,AURANGABAD,0.273887667,0.094519975,0.122156391,0.042156769
30-01-2020,MAHARASHTRA,DHULE,0.289078237,0.070700455,0.102375946,0.025038294
30-01-2020,MAHARASHTRA,KOLHAPUR,0.524619559,0.13895644,0.114774384,0.030400391
30-01-2020,MAHARASHTRA,RAIGARH,0.632011696,0.154955493,0.129589708,0.031772572
30-01-2020,MAHARASHTRA,AMRAVATI,0.321130055,0.133423395,0.143775636,0.059736027
30-01-2020,MAHARASHTRA,NANDED,0.459336756,0.166442724,0.181058721,0.065607436
30-01-2020,MAHARASHTRA,SOLAPUR,0.277618137,0.142117381,0.147619476,0.075568886
30-01-2020,MAHARASHTRA,AHMADNAGAR,0.261737286,0.152608404,0.13075906,0.076240309
30-01-2020,MAHARASHTRA,THANE,0.603733813,0.196325275,0.161886642,0.052643133
30-01-2020,MAHARASHTRA,SANGLI,0.28192338,0.083132775,0.130317056,0.038427528
30-01-2020,MAHARASHTRA,WARDHA,0.609717476,0.131021066,0.243777213,0.052384836
30-01-2020,MAHARASHTRA,BULDANA,0.250029459,0.083084646,0.123451781,0.041022956
30-01-2020,MAHARASHTRA,SINDHUDURG,1.043491272,0.183028642,0.438501673,0.076913308
29-01-2020,MAHARASHTRA,WASHIM,0.248759641,0.044074071,0.146117258,0.025888373
29-01-2020,MAHARASHTRA,SATARA,0.35415562,0.127862522,0.106267509,0.038366274
29-01-2020,MAHARASHTRA,PUNE,0.356661361,0.191270279,0.132527619,0.071071883
29-01-2020,MAHARASHTRA,PARBHANI,0.182005729,0.039427964,0.077083558,0.016698638
29-01-2020,MAHARASHTRA,JALNA,0.203763138,0.054041327,0.088933606,0.023586651
29-01-2020,MAHARASHTRA,GONDIYA,1.027042896,0.191278032,0.3102996,0.05779067
29-01-2020,MAHARASHTRA,MUMBAI,0.01519444,7.76E-05,0.000279962,1.43E-06
29-01-2020,MAHARASHTRA,NASHIK,0.269862509,0.143152526,0.125663136,0.066659854
29-01-2020,MAHARASHTRA,GARHCHIROLI,1.080504957,0.532912402,0.235696961,0.116247346
29-01-2020,MAHARASHTRA,RATNAGIRI,0.968672335,0.275409444,0.454760601,0.129295903
29-01-2020,MAHARASHTRA,OSMANABAD,0.258685943,0.06711969,0.117198688,0.030408841
