Date,StateName,DistrictName,Avg Soilmoisture Level (at 15cm),Avg SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Perg (at 15cm),Volume Soilmoisture percg (at 15cm)
31-01-2020,MAHARASHTRA,WASHIM,0,569.69,0,21.43594877
31-01-2020,MAHARASHTRA,SATARA,0,625.27,0,11.54582108
31-01-2020,MAHARASHTRA,PUNE,0,1044.53,0,12.98483859
31-01-2020,MAHARASHTRA,PARBHANI,0,624.18,0,19.20877895
31-01-2020,MAHARASHTRA,JALNA,0,608.1,0,15.28573909
31-01-2020,MAHARASHTRA,GONDIYA,0,532.17,0,19.04928076
31-01-2020,MAHARASHTRA,MUMBAI,0,0.12,0,0.16073071
31-01-2020,MAHARASHTRA,NASHIK,0,717.32,0,9.01494236
31-01-2020,MAHARASHTRA,GARHCHIROLI,0,1196.63,0,16.17484695
31-01-2020,MAHARASHTRA,RATNAGIRI,0,463.11,0,10.85895968
31-01-2020,MAHARASHTRA,OSMANABAD,0,576.67,0,14.81685891
31-01-2020,MAHARASHTRA,BID,0,848.87,0,14.97448197
31-01-2020,MAHARASHTRA,LATUR,0,555.05,0,15.99032269
31-01-2020,MAHARASHTRA,YAVATMAL,0,1232.93,0,17.80920424
31-01-2020,MAHARASHTRA,BHANDARA,0,387.06,0,19.64531319
31-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,5.6,0,2.412213077
31-01-2020,MAHARASHTRA,NANDURBAR,0,285.07,0,9.467455433
31-01-2020,MAHARASHTRA,NAGPUR,0,1307.66,0,25.8098225
31-01-2020,MAHARASHTRA,CHANDRAPUR,0,1216.89,0,21.04222301
31-01-2020,MAHARASHTRA,JALGAON,0,900.99,0,14.98611021
31-01-2020,MAHARASHTRA,HINGOLI,0,513.71,0,21.38183996
31-01-2020,MAHARASHTRA,AKOLA,0,496.05,0,17.95674889
31-01-2020,MAHARASHTRA,AURANGABAD,0,728.75,0,14.07775886
31-01-2020,MAHARASHTRA,DHULE,0,322.3,0,8.785383879
31-01-2020,MAHARASHTRA,KOLHAPUR,0,444.7,0,11.19289936
31-01-2020,MAHARASHTRA,RAIGARH,0,384.36,0,10.45106973
31-01-2020,MAHARASHTRA,AMRAVATI,0,1424.07,0,22.85022221
31-01-2020,MAHARASHTRA,NANDED,0,1362.73,0,25.07174458
31-01-2020,MAHARASHTRA,SOLAPUR,0,1276.78,0,16.62741665
31-01-2020,MAHARASHTRA,AHMADNAGAR,0,1125.56,0,12.86954566
31-01-2020,MAHARASHTRA,THANE,0,396.79,0,8.134548207
31-01-2020,MAHARASHTRA,SANGLI,0,606.51,0,13.7121459
31-01-2020,MAHARASHTRA,WARDHA,0,793.36,0,24.61321727
31-01-2020,MAHARASHTRA,BULDANA,0,747.09,0,14.988275
31-01-2020,MAHARASHTRA,SINDHUDURG,0,283.22,0,10.7648407
30-01-2020,MAHARASHTRA,WASHIM,0,571.13,0,21.49013602
30-01-2020,MAHARASHTRA,SATARA,0,628.09,0,11.59791629
30-01-2020,MAHARASHTRA,PUNE,0,1049.12,0,13.04197431
30-01-2020,MAHARASHTRA,PARBHANI,0,625.5,0,19.24952447
30-01-2020,MAHARASHTRA,JALNA,0,609.68,0,15.3252421
30-01-2020,MAHARASHTRA,GONDIYA,0,535.75,0,19.17771248
30-01-2020,MAHARASHTRA,MUMBAI,0,0.12,0,0.161433473
30-01-2020,MAHARASHTRA,NASHIK,0,721.09,0,9.062395013
30-01-2020,MAHARASHTRA,GARHCHIROLI,0,1205.5,0,16.29465264
30-01-2020,MAHARASHTRA,RATNAGIRI,0,464.28,0,10.88641281
30-01-2020,MAHARASHTRA,OSMANABAD,0,579.04,0,14.87788306
30-01-2020,MAHARASHTRA,BID,0,851.86,0,15.02717796
30-01-2020,MAHARASHTRA,LATUR,0,557.37,0,16.05732848
30-01-2020,MAHARASHTRA,YAVATMAL,0,1240.11,0,17.91278955
30-01-2020,MAHARASHTRA,BHANDARA,0,390.17,0,19.80333868
30-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,5.67,0,2.442117061
30-01-2020,MAHARASHTRA,NANDURBAR,0,287.02,0,9.532322708
30-01-2020,MAHARASHTRA,NAGPUR,0,1318.94,0,26.03256953
30-01-2020,MAHARASHTRA,CHANDRAPUR,0,1227.93,0,21.23314131
30-01-2020,MAHARASHTRA,JALGAON,0,904.03,0,15.03669271
30-01-2020,MAHARASHTRA,HINGOLI,0,515.37,0,21.45073131
30-01-2020,MAHARASHTRA,AKOLA,0,497.76,0,18.01867767
30-01-2020,MAHARASHTRA,AURANGABAD,0,731.6,0,14.13295315
30-01-2020,MAHARASHTRA,DHULE,0,324.92,0,8.85680216
30-01-2020,MAHARASHTRA,KOLHAPUR,0,446.31,0,11.23342305
30-01-2020,MAHARASHTRA,RAIGARH,0,385.4,0,10.47954763
30-01-2020,MAHARASHTRA,AMRAVATI,0,1430.3,0,22.95003393
30-01-2020,MAHARASHTRA,NANDED,0,1369.04,0,25.18780782
30-01-2020,MAHARASHTRA,SOLAPUR,0,1281.31,0,16.68648566
30-01-2020,MAHARASHTRA,AHMADNAGAR,0,1130.71,0,12.92844243
30-01-2020,MAHARASHTRA,THANE,0,398.6,0,8.171825011
30-01-2020,MAHARASHTRA,SANGLI,0,609.09,0,13.77049197
30-01-2020,MAHARASHTRA,WARDHA,0,799.55,0,24.80514083
30-01-2020,MAHARASHTRA,BULDANA,0,749.47,0,15.03610331
30-01-2020,MAHARASHTRA,SINDHUDURG,0,284,0,10.79418837
29-01-2020,MAHARASHTRA,WASHIM,0,572.62,0,21.54608014
29-01-2020,MAHARASHTRA,SATARA,0,631.03,0,11.65224181
29-01-2020,MAHARASHTRA,PUNE,0,1053.91,0,13.10151762
29-01-2020,MAHARASHTRA,PARBHANI,0,626.9,0,19.29235236
